year,tag,count
2008,c#,7484
2008,.net,5958
2008,java,4381
2008,asp.net,3822
2008,c++,3155
2008,javascript,2737
2008,php,2285
2008,python,2111
2008,sql-server,2050
2008,sql,2026
2008,windows,1560
2008,html,1390
2008,database,1300
2008,visual-studio,1295
2008,c,1190
2008,mysql,1163
2008,xml,972
2008,vb.net,959
2008,winforms,954
2008,ruby,952
2008,asp.net-mvc,946
2008,jquery,945
2008,css,940
2008,linux,892
2008,ruby-on-rails,845
2008,wpf,839
2008,performance,828
2008,svn,788
2008,visual-studio-2008,784
2008,web-services,701
2008,unit-testing,695
2008,regex,691
2008,language-agnostic,686
2008,iphone,675
2008,security,657
2008,oracle,655
2008,algorithm,645
2008,ajax,607
2008,multithreading,601
2008,version-control,569
2008,linq,567
2008,debugging,542
2008,winapi,538
2008,osx,530
2008,perl,529
2008,delphi,527
2008,oop,525
2008,sql-server-2005,522
2008,sharepoint,517
2008,eclipse,514
2008,design,502
2008,string,498
2008,flex,460
2008,flash,455
2008,wcf,441
2008,iis,418
2008,excel,409
2008,linq-to-sql,405
2008,objective-c,393
2008,testing,388
2008,cocoa-touch,382
2008,apache,380
2008,gui,379
2008,exception,378
2008,tsql,372
2008,design-patterns,368
2008,arrays,367
2008,generics,346
2008,silverlight,342
2008,ms-access,336
2008,cocoa,336
2008,internet-explorer,334
2008,file,329
2008,networking,324
2008,web-applications,322
2008,optimization,322
2008,.net-3.5,321
2008,http,308
2008,database-design,306
2008,actionscript-3,305
2008,django,305
2008,parsing,301
2008,unix,300
2008,image,290
2008,deployment,290
2008,.net-2.0,288
2008,visual-studio-2005,282
2008,nhibernate,279
2008,events,277
2008,email,273
2008,coding-style,273
2008,open-source,271
2008,architecture,268
2008,shell,268
2008,user-interface,268
2008,ide,266
2008,scripting,265
2008,firefox,264
2008,validation,263
2008,caching,262
2008,logging,255
2008,data-binding,250
2008,reflection,247
2008,command-line,246
2008,windows-vista,243
2008,stored-procedures,238
2008,vb6,237
2008,mfc,237
2008,configuration,236
2008,visual-c++,234
2008,com,230
2008,memory,230
2008,bash,229
2008,reporting-services,226
2008,hibernate,224
2008,authentication,221
2008,jsp,217
2008,asp-classic,216
2008,serialization,216
2008,git,215
2008,project-management,215
2008,math,214
2008,xslt,214
2008,documentation,214
2008,swing,213
2008,datetime,211
2008,browser,210
2008,search,207
2008,api,205
2008,forms,203
2008,templates,202
2008,emacs,200
2008,unicode,199
2008,windows-mobile,198
2008,compiler,195
2008,dll,195
2008,model-view-controller,194
2008,graphics,192
2008,inheritance,190
2008,frameworks,184
2008,data-structures,183
2008,session,183
2008,postgresql,181
2008,java-ee,181
2008,orm,179
2008,stl,178
2008,encryption,177
2008,tfs,177
2008,vim,176
2008,vba,176
2008,dom,175
2008,collections,173
2008,refactoring,171
2008,date,169
2008,url,169
2008,json,168
2008,xaml,167
2008,ado.net,166
2008,sorting,165
2008,tdd,164
2008,batch-file,164
2008,user-controls,163
2008,tomcat,163
2008,pdf,162
2008,rest,162
2008,vbscript,160
2008,asp.net-ajax,160
2008,functional-programming,159
2008,class,158
2008,list,158
2008,sockets,157
2008,plugins,157
2008,build-process,157
2008,spring,156
2008,ssl,154
2008,editor,151
2008,controls,151
2008,entity-framework,151
2008,file-io,150
2008,gcc,150
2008,syntax,148
2008,soap,146
2008,memory-management,144
2008,msbuild,143
2008,interop,143
2008,active-directory,140
2008,audio,139
2008,powershell,138
2008,installer,138
2008,embedded,138
2008,encoding,138
2008,actionscript,138
2008,concurrency,137
2008,filesystems,136
2008,agile,136
2008,interface,136
2008,ms-word,133
2008,compact-framework,132
2008,gridview,132
2008,windows-xp,131
2008,opengl,129
2008,outlook,127
2008,build-automation,125
2008,function,125
2008,sqlite,123
2008,hash,123
2008,iis-6,123
2008,internationalization,121
2008,types,121
2008,windows-services,121
2008,xhtml,121
2008,enums,121
2008,automation,121
2008,maven-2,121
2008,printing,119
2008,hardware,119
2008,formatting,118
2008,qt,118
2008,moss,118
2008,error-handling,116
2008,cross-platform,115
2008,ant,115
2008,macros,115
2008,localization,114
2008,indexing,114
2008,mocking,114
2008,transactions,114
2008,excel-vba,113
2008,lisp,112
2008,pointers,112
2008,jdbc,112
2008,mobile,111
2008,64bit,110
2008,continuous-integration,110
2008,cookies,110
2008,random,109
2008,permissions,108
2008,resources,108
2008,webforms,108
2008,crystal-reports,108
2008,video,107
2008,ms-office,107
2008,fonts,106
2008,profiling,106
2008,table,106
2008,programming-languages,106
2008,dns,105
2008,reference,105
2008,process,104
2008,tortoisesvn,102
2008,f#,102
2008,listview,102
2008,migration,100
2008,ftp,100
2008,assemblies,100
2008,datagridview,100
